Título,Endereço,Metro_m2,N_Quartos,N_Banheiros,N_Garagens,Valor_Mensal
Casa com 4 Quartos para Venda/Aluguel 224m²,"Jardim Chapadão, Campinas - SP",224,"4
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 4.800
                      /Mês


                    R$ 900.000"
"Apartamento com 3 Quartos para Aluguel, 91m²","Taquaral, Campinas - SP",91,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 4.300
                      /Mês"
"Casa de condomínio com 3 Quartos para Aluguel, 80m²","Rua Padre Domingos Giovanini, 394 - Parque Taquaral, Campinas - SP",80,"3
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 3.200
                      /Mês"
Apartamento com 3 Quartos para Venda/Aluguel 134m²,"Avenida Maria Emília Alves dos Santos de Ângelis - Parque Prado, Campinas - SP",134,"3
              

                Quartos","5
              

                Banheiros","3
                

                  Vagas","R$ 4.500
                      /Mês


                    R$ 1.150.000"
Casa com 3 Quartos para Venda/Aluguel 285m²,"Rua João Batista Signori, 115 - Vila Nova, Campinas - SP",285,"3
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 2.900
                      /Mês


                    R$ 520.000"
Chácara com 3 Quartos para Venda/Aluguel 250m²,"Recanto dos Dourados, Campinas - SP",250,"3
              

                Quartos","3
              

                Banheiros","6
                

                  Vagas","R$ 1.980
                      /Mês


                    R$ 390.000"
Casa de condomínio com 4 Quartos para Venda/Aluguel 196m²,"Rua San Conrado, 956 - Loteamento Caminhos de Sao Conrado Sousas, Campinas - SP",196,"4
              

                Quartos","4
              

                Banheiros","2
                

                  Vagas","R$ 5.500
                      /Mês


                    R$ 1.100.000"
"Casa com 2 Quartos para Aluguel, 90m²","Rua Glênio Fernandes de Sá - Residencial Cosmos, Campinas - SP",90,"2
              

                Quartos","1
              

                Banheiro","2
                

                  Vagas","R$ 1.600
                      /Mês"
"Casa de condomínio com 3 Quartos para Aluguel, 193m²","Rua San Conrado, S/N - Loteamento Caminhos de San Conrado, Campinas - SP",193,"3
              

                Quartos","4
              

                Banheiros","4
                

                  Vagas","R$ 4.200
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 58m²","Rua Santa Cruz, 333 - Cambuí, Campinas - SP",58,"2
              

                Quartos","1
              

                Banheiro","2
                

                  Vagas","R$ 2.900
                      /Mês"
"Sala/Conjunto com 9 Quartos para Aluguel, 350m²","Rua Teófilo Braga, 489 - Jardim Nossa Senhora Auxiliadora, Campinas - SP",350,"9
              

                Quartos","7
              

                Banheiros","--
                

                  Vaga","R$ 1.200
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 107m²","Rua MMDC - Cambuí, Campinas - SP",107,"3
              

                Quartos","4
              

                Banheiros","2
                

                  Vagas","R$ 5.400
                      /Mês"
Apartamento com 2 Quartos para Venda/Aluguel 71m²,"Centro, Campinas - SP",71,"2
              

                Quartos","3
              

                Banheiros","1
                

                  Vaga","R$ 1.550
                      /Mês


                    R$ 450.000"
Casa com 3 Quartos para Venda/Aluguel 119m²,"Residencial Terras do Barão, Campinas - SP",119,"3
              

                Quartos","2
              

                Banheiros","4
                

                  Vagas","R$ 3.200
                      /Mês


                    R$ 590.000"
"Casa de condomínio com 3 Quartos para Aluguel, 100m²","Loteamento Caminhos de Sao Conrado Sousas, Campinas - SP",100,"3
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 3.400
                      /Mês"
Casa com 3 Quartos para Venda/Aluguel 113m²,"Jardim São Marcos, Campinas - SP",113,"3
              

                Quartos","2
              

                Banheiros","3
                

                  Vagas","R$ 2.400
                      /Mês


                    R$ 490.000"
Casa de condomínio com 3 Quartos para Venda/Aluguel 224m²,"Rua San Conrado, 2978 - Loteamento Caminhos de Sao Conrado Sousas, Campinas - SP",224,"3
              

                Quartos","3
              

                Banheiros","4
                

                  Vagas","R$ 6.300
                      /Mês


                    R$ 1.450.000"
Apartamento com 3 Quartos para Venda/Aluguel 64m²,"Rua Doutor Herculano Gouvea Neto, 460 - Loteamento Parque São Martinho, Campinas - SP",64,"3
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 1.590
                      /Mês


                    R$ 335.000"
"Apartamento com 2 Quartos para Aluguel, 58m²","Rua Luiz Otávio, 2002 - Mansões Santo Antônio, Campinas - SP",58,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.750
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 132m²","Cambuí, Campinas - SP",132,"3
              

                Quartos","4
              

                Banheiros","2
                

                  Vagas","R$ 3.400
                      /Mês"
"Apartamento com  Quarto para Aluguel, 47m²","Cambuí, Campinas - SP",47,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 2.500
                      /Mês"
"Casa com 4 Quartos para Aluguel, 270m²","Avenida Dermival Bernardes Siqueira, 3714 - Swiss Park, Campinas - SP",270,"4
              

                Quartos","6
              

                Banheiros","4
                

                  Vagas","R$ 13.000
                      /Mês"
Apartamento com 2 Quartos para Venda/Aluguel 56m²,"Avenida São José dos Campos, 3297 - Loteamento Parque São Martinho, Campinas - SP",56,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.000
                      /Mês


                    R$ 210.000"
"Apartamento com  Quarto para Aluguel, 25m²","Rua Walter Schmidt - Fazenda Santa Cândida, Campinas - SP",25,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 1.300
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 100m²","Rua Santos Dumont, 300 - Cambuí, Campinas - SP",100,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 3.400
                      /Mês"
Casa de condomínio com 3 Quartos para Venda/Aluguel 260m²,"Rua Doutor Antonio Guimarães Barros, 0 - Loteamento Parque dos Alecrins , Campinas - SP",260,"3
              

                Quartos","5
              

                Banheiros","4
                

                  Vagas","R$ 11.000
                      /Mês


                    R$ 2.350.000"
"Apartamento com  Quarto para Aluguel, 47m²","Rua Regente Feijó, 1543 - Centro, Campinas - SP",47,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 800
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 64m²","Rua Dona Josefina Sarmento, 367 - Cambuí, Campinas - SP",64,"2
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 2.550
                      /Mês"
"Casa com 4 Quartos para Aluguel, 130m²","Jardim Chapadão, Campinas - SP",130,"4
              

                Quartos","3
              

                Banheiros","5
                

                  Vagas","R$ 2.300
                      /Mês"
"Ponto comercial/Loja/Box    para Aluguel, 50m²","Rua Firmino Costa, 142 - Taquaral, Campinas - SP",50,"--
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 1.650
                      /Mês"
"Apartamento com  Quarto para Aluguel, 45m²","Rua Culto à Ciência, 567 - Botafogo, Campinas - SP",45,"1
              

                Quarto","1
              

                Banheiro","--
                

                  Vaga","R$ 700
                      /Mês"
"Apartamento com 3 Quartos para Aluguel, 73m²","Rua Hermantino Coelho, 1127 - Mansões Santo Antônio, Campinas - SP",73,"3
              

                Quartos","2
              

                Banheiros","2
                

                  Vagas","R$ 3.200
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 71m²","Jardim Flamboyant, Campinas - SP",71,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.200
                      /Mês"
"Apartamento com  Quarto para Aluguel, 43m²","Rua Duque de Caxias, 880 - Centro, Campinas - SP",43,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 3.000
                      /Mês"
Apartamento com 2 Quartos para Venda/Aluguel 49m²,"Rua Manoel Sylvestre de Freitas Filho, 1277 - Jardim Nova Europa, Campinas - SP",49,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.000
                      /Mês


                    R$ 212.000"
"Casa com 5 Quartos para Aluguel, 194m²","Rua Roxo Moreira, 314 - Cidade Universitária, Campinas - SP",194,"5
              

                Quartos","4
              

                Banheiros","5
                

                  Vagas","R$ 4.500
                      /Mês"
"Apartamento com  Quarto para Aluguel, 40m²","Centro, Campinas - SP",40,"1
              

                Quarto","1
              

                Banheiro","1
                

                  Vaga","R$ 900
                      /Mês"
"Casa de condomínio com 3 Quartos para Aluguel, 118m²","Rua Osvaldo Bottcher - Parque Jambeiro, Campinas - SP",118,"3
              

                Quartos","3
              

                Banheiros","2
                

                  Vagas","R$ 3.200
                      /Mês"
"Apartamento com 4 Quartos para Aluguel, 120m²","Rua Luiz Oliveira, 327 - Parque das Flores, Campinas - SP",120,"4
              

                Quartos","4
              

                Banheiros","2
                

                  Vagas","R$ 3.400
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 57m²","Parque Itália, Campinas - SP",57,"2
              

                Quartos","1
              

                Banheiro","1
                

                  Vaga","R$ 1.400
                      /Mês"
"Apartamento com 2 Quartos para Aluguel, 66m²","Rua da Abolição, 1000 - Ponte Preta, Campinas - SP",66,"2
              

                Quartos","2
              

                Banheiros","1
                

                  Vaga","R$ 3.000
                      /Mês"
"Casa de condomínio com 3 Quartos para Aluguel, 360m²","Avenida Dermival Bernardes Siqueira, 001 - Swiss Park, Campinas - SP",360,"3
              

                Quartos","5
              

                Banheiros","4
                

                  Vagas","R$ 15.000
                      /Mês"
"Apartamento com  Quarto para Aluguel, 39m²","Centro, Campinas - SP",39,"1
              

                Quarto","1
              

                Banheiro","--
                

                  Vaga","R$ 450
                      /Mês"
Casa de condomínio com 3 Quartos para Venda/Aluguel 250m²,"Avenida Doutor José Bonifácio Coutinho Nogueira - Jardim Madalena, Campinas - SP",250,"3
              

                Quartos","5
              

                Banheiros","4
                

                  Vagas","R$ 12.000
                      /Mês


                    R$ 2.400.000"
"Apartamento com 3 Quartos para Aluguel, 138m²","Rua Santo Antônio, 60 - Cambuí, Campinas - SP",138,"3
              

                Quartos","4
              

                Banheiros","3
                

                  Vagas","R$ 3.500
                      /Mês"
